"vtd","cntyvtd","d","r","winner"
"0124","3030124","249","981","R"
"0125","3030125","320","1124","R"
"0126","3030126","270","663","R"
"0127","3030127","399","1277","R"
"0128","3030128","216","1105","R"
"0129","3030129","449","1587","R"
"0135","3030135","9","101","R"
"0138","3030138","18","120","R"
"0140","3030140","369","1795","R"
"0141","3030141","455","1134","R"
"0142","3030142","15","43","R"
"0151","3030151","105","595","R"
"0152","3030152","243","381","R"
"0154","3030154","361","1392","R"
"0155","3030155","147","1427","R"
"0001A","3050001A","36","120","R"
"0001B","3050001B","3","18","R"
"0002","3050002","40","179","R"
"0003","3050003","78","221","R"
"0004","3050004","32","294","R"
"0005","3050005","2","15","R"
"0006","3050006","53","186","R"
"0007","3050007","0","29","R"
"0008","3050008","2","21","R"
"0009","3050009","43","213","R"
"0010","3050010","0","1","R"
"0011","3050011","3","49","R"
"0012","3050012","31","55","R"
"0013","3050013","9","79","R"
"0101","3070101","116","722","R"
"0102","3070102","15","95","R"
"0058","3090058","619","847","R"
"0059","3090059","500","1776","R"
"0060","3090060","824","1875","R"
"0061","3090061","601","1389","R"
"0062","3090062","883","1802","R"
"0063","3090063","580","1827","R"
"0064","3090064","131","421","R"
"0065","3090065","108","532","R"
"0066","3090066","124","656","R"
"0067","3090067","288","1288","R"
"0068","3090068","125","577","R"
"0069","3090069","128","816","R"
"0070","3090070","25","210","R"
"0071","3090071","104","267","R"
"0072","3090072","121","441","R"
"0073","3090073","92","530","R"
"0074","3090074","68","400","R"
"0075","3090075","354","1649","R"
"0076","3090076","227","1018","R"
"0077","3090077","135","736","R"
"0078","3090078","512","1587","R"
"0079","3090079","232","504","R"
"0080","3090080","148","1283","R"
"0081","3090081","351","2029","R"
"0082","3090082","295","1410","R"
"0083","3090083","74","276","R"
"0084","3090084","345","985","R"
"0088","3090088","101","125","R"
"0090","3090090","94","144","R"
"0091","3090091","324","900","R"
"0102","310102","327","1146","R"
"0201","310201","295","977","R"
"0302","310302","174","558","R"
"0303","310303","61","224","R"
"0304","310304","42","150","R"
"0401","310401","345","1157","R"
"0001","3110001","9","92","R"
"0003","3110003","11","124","R"
"002A","311002A","4","58","R"
"002B","311002B","2","61","R"
"004A","311004A","5","55","R"
"004B","311004B","9","64","R"
"0101","3130101","207","742","R"
"0202","3130202","225","913","R"
"0303","3130303","342","603","R"
"0404","3130404","107","1093","R"
"0001","3150001","110","238","R"
"0002","3150002","126","565","R"
"0003","3150003","64","281","R"
"0004","3150004","84","206","R"
"0005","3150005","99","368","R"
"0006","3150006","189","364","R"
"0008","3150008","124","410","R"
"0009","3150009","56","210","R"
"0010","3150010","77","160","R"
"0001","3170001","72","345","R"
"0002","3170002","95","240","R"
"0003","3170003","42","341","R"
"0004","3170004","39","292","R"
"003A","317003A","12","125","R"
"004A","317004A","6","112","R"
"0101","3190101","78","434","R"
"0210","3190210","86","361","R"
"0302","3190302","95","417","R"
"0405","3190405","95","444","R"
"0002","3210002","79","390","R"
"0004","3210004","128","655","R"
"0005","3210005","290","875","R"
"0006","3210006","155","594","R"
"0007","3210007","18","97","R"
"0008","3210008","92","412","R"
"0009","3210009","58","66","R"
"0010","3210010","29","215","R"
"0012","3210012","32","136","R"
"0013","3210013","112","143","R"
"001A","321001A","359","1310","R"
"001B","321001B","508","1335","R"
"001D","321001D","269","303","R"
"001E","321001E","353","436","R"
"001F","321001F","142","241","R"
"003A","321003A","361","635","R"
"003B","321003B","96","391","R"
"0002","3270002","33","164","R"
"0003","3270003","40","170","R"
"0004","3270004","25","119","R"
"0005","3270005","2","48","R"
"0006","3270006","6","64","R"
"0101A","3290101A","56","330","R"
"0101B","3290101B","2","9","R"
"0102","3290102","343","1219","R"
"0103","3290103","291","1206","R"
"0104","3290104","169","238","R"
"0105","3290105","261","575","R"
"0106","3290106","495","1336","R"
"0107","3290107","308","1440","R"
"0108","3290108","56","218","R"
"0109","3290109","147","211","R"
"0110","3290110","208","1708","R"
"0201","3290201","256","1185","R"
"0202","3290202","303","2838","R"
"0203","3290203","81","353","R"
"0204","3290204","216","1616","R"
"0205","3290205","93","610","R"
"0206","3290206","134","1108","R"
"0207","3290207","338","1446","R"
"0208","3290208","143","329","R"
"0210","3290210","191","745","R"
"0211","3290211","198","880","R"
"0212","3290212","245","685","R"
"0302","3290302","431","1151","R"
"0303","3290303","59","68","R"
"0307","3290307","177","463","R"
"0309","3290309","56","89","R"
"0310","3290310","84","119","R"
"0401","3290401","65","546","R"
"0402","3290402","27","175","R"
"0403","3290403","273","1834","R"
"0404","3290404","272","1450","R"
"0405","3290405","267","1348","R"
"0406","3290406","197","984","R"
"0407","3290407","342","1320","R"
"0408","3290408","134","1167","R"
"0409","3290409","191","993","R"
"0410","3290410","69","685","R"
"0411","3290411","241","2360","R"
"108A","329108A","35","201","R"
"307A","329307A","37","86","R"
"309A","329309A","0","18","R"
"402A","329402A","82","436","R"
"0004","330004","5","98","R"
"001A","33001A","6","44","R"
"001B","33001B","12","37","R"
"002A","33002A","5","67","R"
"002B","33002B","0","28","R"
"003A","33003A","2","23","R"
"003B","33003B","1","33","R"
"0101","3310101","281","1068","R"
"0105","3310105","101","537","R"
"0203","3310203","51","194","R"
"0207","3310207","111","193","R"
"0210","3310210","68","248","R"
"0212","3310212","344","633","R"
"0316","3310316","83","337","R"
"0317","3310317","109","618","R"
"0318","3310318","345","954","R"
"0419","3310419","309","687","R"
"0420","3310420","249","895","R"
"0001","3330001","69","532","R"
"0002","3330002","28","219","R"
"0003","3330003","7","25","R"
"0004","3330004","8","125","R"
"0005","3330005","9","89","R"
"0006","3330006","20","160","R"
"0007","3330007","4","56","R"
"0008","3330008","31","271","R"
"0009","3330009","53","367","R"
"0011","3330011","14","107","R"
"0001","3350001","88","483","R"
"0002","3350002","8","169","R"
"0003","3350003","102","433","R"
"0004","3350004","57","264","R"
"0025","3350025","57","214","R"
"0046","3350046","42","217","R"
"0002","3370002","169","1331","R"
"0003","3370003","69","761","R"
"0004","3370004","20","298","R"
"0005","3370005","51","568","R"
"0006","3370006","56","541","R"
"0007","3370007","74","594","R"
"0008","3370008","44","442","R"
"0009","3370009","105","649","R"
"0010","3370010","80","585","R"
"0011","3370011","84","532","R"
"0012","3370012","9","87","R"
"0013","3370013","56","578","R"
"0014","3370014","16","126","R"
"0015","3370015","29","278","R"
"0016","3370016","23","156","R"
"0001","3390001","518","1188","R"
"0002","3390002","284","907","R"
"0003","3390003","1055","2042","R"
"0004","3390004","421","704","R"
"0005","3390005","22","183","R"
"0006","3390006","716","1618","R"
"0007","3390007","190","911","R"
"0008","3390008","185","1547","R"
"0009","3390009","178","944","R"
"0011","3390011","209","894","R"
"0012","3390012","237","708","R"
"0013","3390013","306","1801","R"
"0014","3390014","572","1589","R"
"0015","3390015","477","2298","R"
"0016","3390016","234","1645","R"
"0017","3390017","269","1577","R"
"0018","3390018","436","2255","R"
"0019","3390019","358","1702","R"
"0020","3390020","428","707","R"
"0021","3390021","496","1435","R"
"0022","3390022","447","2377","R"
"0023","3390023","512","1355","R"
"0024","3390024","653","1903","R"
"0025","3390025","261","1510","R"
"0026","3390026","609","2229","R"
"0027","3390027","574","1713","R"
"0028","3390028","262","1695","R"
"0029","3390029","530","3442","R"
"0036","3390036","289","1293","R"
"0037","3390037","1059","2305","R"
"0038","3390038","346","2334","R"
"0039","3390039","355","2632","R"
"0040","3390040","687","3293","R"
"0041","3390041","245","1735","R"
"0042","3390042","50","369","R"
"0043","3390043","334","1632","R"
"0044","3390044","375","1024","R"
"0045","3390045","475","1374","R"
"0046","3390046","1072","2432","R"
"0047","3390047","828","1469","R"
"0048","3390048","526","1079","R"
"0049","3390049","497","1003","R"
"0050","3390050","333","2190","R"
"0051","3390051","468","758","R"
"0052","3390052","336","1370","R"
"0053","3390053","346","1666","R"
"0054","3390054","158","625","R"
"0055","3390055","106","519","R"
"0056","3390056","1036","2438","R"
"0057","3390057","251","1390","R"
"0058","3390058","465","1262","R"
"0059","3390059","330","816","R"
"0060","3390060","298","574","R"
"0061","3390061","1082","1988","R"
"0062","3390062","600","1258","R"
"0063","3390063","609","3382","R"
"0064","3390064","191","794","R"
"0065","3390065","426","2630","R"
"0066","3390066","319","1966","R"
"0067","3390067","572","1119","R"
"0068","3390068","666","2213","R"
"0069","3390069","955","1821","R"
"0070","3390070","630","1265","R"
"0071","3390071","906","2000","R"
"0072","3390072","390","2452","R"
"0073","3390073","267","714","R"
"0074","3390074","278","1108","R"
"0075","3390075","1114","2463","R"
"0076","3390076","362","2306","R"
"0077","3390077","434","2535","R"
"0078","3390078","960","2266","R"
"0079","3390079","417","894","R"
"0080","3390080","804","2412","R"
"0081","3390081","711","1649","R"
"0082","3390082","963","2975","R"
"0083","3390083","100","637","R"
"0084","3390084","913","1283","R"
"0085","3390085","324","1643","R"
"0086","3390086","517","2735","R"
"0087","3390087","1280","2460","R"
"0088","3390088","724","1592","R"
"0089A","3390089A","575","2920","R"
"0089B","3390089B","7","35","R"
"0089C","3390089C","0","7","R"
"0090","3390090","349","1953","R"
"0101","3410101","302","940","R"
"0201","3410201","159","956","R"
"0202","3410202","129","941","R"
"0203","3410203","7","31","R"
"0301","3410301","245","521","R"
"0401","3410401","86","548","R"
"0103","3430103","155","273","R"
"0202","3430202","119","555","R"
"0203","3430203","161","409","R"
"0302","3430302","169","460","R"
"0303","3430303","131","605","R"
"0401","3430401","302","972","R"
"0001","3450001","6","171","R"
"0002","3450002","5","59","R"
"0003","3450003","1","15","R"
"0004","3450004","12","133","R"
"0005","3450005","4","96","R"
"0006","3450006","12","92","R"
"0012","3470012","214","1045","R"
"0013","3470013","118","750","R"
"0014","3470014","375","1318","R"
"0015","3470015","128","857","R"
"0016","3470016","328","1369","R"
"0017","3470017","66","226","R"
"0021","3470021","221","840","R"
"0026","3470026","842","882","R"
"0033","3470033","958","1941","R"
"0034","3470034","29","58","R"
"0041","3470041","189","397","R"
"0042","3470042","327","582","R"
"0043","3470043","268","571","R"
"0044","3470044","141","933","R"
"0045","3470045","57","469","R"
"0046","3470046","115","468","R"
"0047","3470047","49","549","R"
"0101","3490101","275","721","R"
"0103","3490103","213","632","R"
"0104","3490104","87","262","R"
"0105","3490105","30","135","R"
"0106","3490106","73","216","R"
"0107","3490107","199","586","R"
"0108","3490108","64","260","R"
"0109","3490109","48","167","R"
"0200","3490200","181","280","R"
"0201","3490201","260","261","R"
"0202","3490202","197","283","R"
"0203","3490203","361","1020","R"
"0204","3490204","47","118","R"
"0205","3490205","118","520","R"
"0206","3490206","71","286","R"
"0300","3490300","370","868","R"
"0301","3490301","53","117","R"
"0303","3490303","171","627","R"
"0304","3490304","59","301","R"
"0305","3490305","68","205","R"
"0306","3490306","29","117","R"
"0307","3490307","56","282","R"
"0308","3490308","38","208","R"
"0400","3490400","204","626","R"
"0401","3490401","78","173","R"
"0402","3490402","228","730","R"
"0403","3490403","135","790","R"
"0404","3490404","152","600","R"
"0405","3490405","107","437","R"
"0406","3490406","30","166","R"
"0002","350002","113","399","R"
"0003","350003","98","536","R"
"0004","350004","37","293","R"
"0005","350005","182","797","R"
"0006","350006","134","606","R"
"0007","350007","63","421","R"
"0008","350008","232","1182","R"
"0009","350009","107","464","R"
"0010","350010","158","738","R"
"0011","350011","92","488","R"
"0001","3510001","96","484","R"
"0002","3510002","39","153","R"
"0003","3510003","27","388","R"
"0004","3510004","29","83","R"
"0005","3510005","30","279","R"
"0119","3550119","703","1047","R"
"0120","3550120","486","580","R"
"0122","3550122","500","1195","R"
"0123","3550123","344","713","R"
"0124","3550124","740","932","R"
"0125","3550125","1124","1439","R"
"0126","3550126","465","907","R"
"0127","3550127","200","646","R"
"0001","3570001","50","384","R"
"0002","3570002","71","552","R"
"0103","3590103","4","91","R"
"0202","3590202","14","99","R"
"0203","3590203","9","128","R"
"0303","3590303","19","178","R"
"0403","3590403","9","111","R"
"0404","3590404","10","106","R"
"0001","3610001","24","136","R"
"0005","3610005","436","448","R"
"0006","3610006","165","894","R"
"0007","3610007","290","818","R"
"0008","3610008","208","1152","R"
"0009","3610009","159","1014","R"
"0010","3610010","91","349","R"
"0011","3610011","107","231","R"
"0012","3610012","168","487","R"
"0013","3610013","262","480","R"
"0014","3610014","346","644","R"
"0015","3610015","176","883","R"
"0016","3610016","123","1328","R"
"0017","3610017","96","988","R"
"0018","3610018","151","1067","R"
"0019","3610019","118","813","R"
"0020","3610020","88","693","R"
"0021","3610021","27","149","R"
"0022","3610022","93","625","R"
"0023","3610023","163","1423","R"
"0024","3610024","106","782","R"
"0025","3610025","137","866","R"
"0026","3610026","175","1131","R"
"0027","3610027","123","1063","R"
"0028","3610028","192","1655","R"
"0029","3610029","75","587","R"
"0030","3610030","66","529","R"
"0031","3610031","154","1265","R"
"0032","3610032","110","1054","R"
"0033","3610033","107","747","R"
"0034","3610034","104","875","R"
"0001","3630001","53","326","R"
"0002","3630002","1","14","R"
"0003","3630003","69","496","R"
"0004","3630004","24","222","R"
"0005","3630005","52","235","R"
"0006","3630006","109","504","R"
"0007","3630007","37","309","R"
"0008","3630008","83","916","R"
"0009","3630009","31","202","R"
"0011","3630011","16","143","R"
"0012","3630012","44","203","R"
"0013","3630013","85","349","R"
"0014","3630014","17","82","R"
"0015","3630015","64","439","R"
"0016","3630016","17","235","R"
"0017","3630017","76","170","R"
"0018","3630018","16","90","R"
"0020","3630020","9","118","R"
"0021","3630021","104","412","R"
"0022","3630022","62","508","R"
"0023","3630023","157","543","R"
"0024","3630024","14","73","R"
"0025","3630025","16","55","R"
"0026","3630026","19","34","R"
"0027","3630027","187","735","R"
"0028","3630028","105","315","R"
"0029","3630029","144","359","R"
"0030","3630030","97","197","R"
"0001","3650001","227","986","R"
"0002","3650002","246","1175","R"
"0003","3650003","174","694","R"
"0005","3650005","27","286","R"
"0007","3650007","92","393","R"
"0008","3650008","30","124","R"
"0009","3650009","73","394","R"
"0010","3650010","59","176","R"
"0012","3650012","15","266","R"
"0013","3650013","49","154","R"
"0014","3650014","26","261","R"
"0018","3650018","179","1105","R"
"0019","3650019","8","205","R"
"0020","3650020","4","205","R"
"0022","3650022","106","114","R"
"0026","3650026","39","91","R"
"0027","3650027","291","375","R"
"0028","3650028","183","1218","R"
"0029","3650029","7","223","R"
"0100","3670100","426","1971","R"
"0105","3670105","168","1145","R"
"0110","3670110","174","725","R"
"0111","3670111","97","482","R"
"0115","3670115","213","1025","R"
"0120","3670120","154","971","R"
"0125","3670125","148","1239","R"
"0130","3670130","265","1500","R"
"0135","3670135","118","733","R"
"0140","3670140","72","546","R"
"0200","3670200","197","762","R"
"0205","3670205","208","748","R"
"0210","3670210","108","976","R"
"0215","3670215","261","1665","R"
"0220","3670220","36","397","R"
"0225","3670225","101","645","R"
"0230","3670230","122","698","R"
"0235","3670235","77","508","R"
"0240","3670240","91","687","R"
"0245","3670245","119","764","R"
"0250","3670250","134","779","R"
"0255","3670255","175","946","R"
"0300","3670300","242","842","R"
"0305","3670305","238","1050","R"
"0310","3670310","186","617","R"
"0315","3670315","394","2039","R"
"0320","3670320","126","1024","R"
"0325","3670325","122","936","R"
"0330","3670330","137","733","R"
"0335","3670335","194","1945","R"
"0340","3670340","32","502","R"
"0345","3670345","177","1023","R"
"0350","3670350","194","1374","R"
"0400","3670400","393","1725","R"
"0405A","3670405A","290","1556","R"
"0405B","3670405B","23","136","R"
"0410","3670410","224","1048","R"
"0415","3670415","208","1042","R"
"0420","3670420","182","1163","R"
"0425","3670425","129","748","R"
"0430","3670430","259","1138","R"
"0435","3670435","305","1483","R"
"0440","3670440","375","1987","R"
"0445","3670445","170","1059","R"
"0450","3670450","280","1391","R"
"0101","3690101","141","569","R"
"0201","3690201","148","194","R"
"0202","3690202","11","132","R"
"0203","3690203","0","50","R"
"0301","3690301","70","500","R"
"0302","3690302","6","140","R"
"0303","3690303","6","39","R"
"0401","3690401","17","181","R"
"0402","3690402","85","106","R"
"0007","370007","721","1555","R"
"0009","370009","463","1125","R"
"0010","370010","229","1076","R"
"0011","370011","194","1486","R"
"0012","370012","167","1334","R"
"0013","370013","33","138","R"
"0014","370014","489","1398","R"
"0015","370015","40","296","R"
"0016","370016","90","817","R"
"0017","370017","143","992","R"
"0018","370018","265","1296","R"
"0019","370019","26","476","R"
"0006","3710006","29","33","R"
"0007","3710007","358","411","R"
"0009","3710009","35","109","R"
"0001","3730001","22","185","R"
"0002","3730002","35","241","R"
"0003","3730003","210","701","R"
"0004","3730004","171","677","R"
"0005","3730005","280","1231","R"
"0006","3730006","405","2175","R"
"0007","3730007","93","285","R"
"0008","3730008","167","375","R"
"0009","3730009","97","342","R"
"0010","3730010","379","796","R"
"0011","3730011","56","147","R"
"0013","3730013","22","238","R"
"0014","3730014","80","429","R"
"0015","3730015","52","545","R"
"0016","3730016","329","1990","R"
"0017","3730017","104","557","R"
"0019","3730019","654","1747","R"
"0020","3730020","642","1820","R"
"0021","3730021","125","549","R"
"0121","3750121","234","1022","R"
"0122","3750122","305","1043","R"
"0123","3750123","568","1420","R"
"0124","3750124","277","1173","R"
"0125","3750125","551","1369","R"
"0126","3750126","356","918","R"
"0221","3750221","306","352","R"
"0222","3750222","243","300","R"
"0224","3750224","456","739","R"
"0225","3750225","298","324","R"
"0321","3750321","113","1436","R"
"0322","3750322","14","117","R"
"0323","3750323","307","2172","R"
"0324","3750324","498","2322","R"
"0325","3750325","320","1148","R"
"0326","3750326","237","1237","R"
"0327","3750327","91","573","R"
"0426","3750426","111","171","R"
"0006","3770006","5","9","R"
"0101","3790101","67","671","R"
"0102","3790102","79","384","R"
"0203","3790203","81","761","R"
"0204","3790204","45","314","R"
"0305","3790305","93","451","R"
"0306","3790306","127","466","R"
"0407","3790407","70","503","R"
"0408","3790408","66","418","R"
"0110","3810110","346","2721","R"
"0111","3810111","606","1669","R"
"0112","3810112","430","1362","R"
"0114","3810114","342","1366","R"
"0123","3810123","186","657","R"
"0208","3810208","487","2862","R"
"0220","3810220","209","1070","R"
"0222","3810222","477","2407","R"
"0227","3810227","484","2922","R"
"0228","3810228","577","2783","R"
"0230","3810230","310","1775","R"
"0305","3810305","237","1326","R"
"0306","3810306","404","1916","R"
"0307","3810307","300","1935","R"
"0309","3810309","224","1873","R"
"0324","3810324","480","2949","R"
"0325","3810325","210","2069","R"
"0415","3810415","402","2108","R"
"0418","3810418","559","2523","R"
"0421","3810421","372","1540","R"
"0426","3810426","210","1660","R"
"0429","3810429","515","1969","R"
"0001","3830001","45","65","R"
"0002","3830002","46","258","R"
"0003A","3830003A","39","195","R"
"0003B","3830003B","1","25","R"
"0004","3830004","36","166","R"
"0001","3850001","72","376","R"
"0002","3850002","64","420","R"
"0003","3850003","79","217","R"
"0004","3850004","16","138","R"
"0006","3850006","26","183","R"
"0007","3850007","5","48","R"
"0001","3870001","5","50","R"
"0002","3870002","141","290","R"
"0004","3870004","207","327","R"
"0005","3870005","80","592","R"
"0007","3870007","27","137","R"
"0009","3870009","10","179","R"
"0010","3870010","9","130","R"
"0011","3870011","10","83","R"
"0013","3870013","42","347","R"
"0014","3870014","11","118","R"
"0017","3870017","25","128","R"
"0018","3870018","14","89","R"
"0019","3870019","27","259","R"
"0020","3870020","44","49","R"
"0021","3870021","25","97","R"
"0024","3870024","25","97","R"
"0027","3870027","17","253","R"
"0028","3870028","50","121","R"
"0029","3870029","23","81","R"
"0030","3870030","6","73","R"
"0031","3870031","6","90","R"
"0004","3890004","13","31","R"
"0026","390026","875","1199","R"
"0027","390027","690","866","R"
"0028","390028","1324","2227","R"
"0030","390030","358","1490","R"
"0031","390031","121","588","R"
"0032","390032","352","1303","R"
"0033","390033","362","853","R"
"0034","390034","567","1870","R"
"0035","390035","147","826","R"
"0036","390036","928","1715","R"
"0038","390038","102","368","R"
"0039","390039","627","1448","R"
"0040","390040","856","2006","R"
"0042","390042","123","266","R"
"0043","390043","716","1779","R"
"0045","390045","533","1567","R"
"0046","390046","377","982","R"
"0047","390047","604","1016","R"
"0048","390048","497","948","R"
"0049","390049","114","738","R"
"0051","390051","519","1754","R"
"0052","390052","532","1313","R"
"0055","390055","545","1216","R"
"0056","390056","781","1893","R"
"0057","390057","357","1450","R"
"0061","390061","960","2492","R"
"0064","390064","3","11","R"
"0002","3910002","123","463","R"
"0003","3910003","109","340","R"
"002A","391002A","15","112","R"
"002B","391002B","64","131","R"
"003A","391003A","112","310","R"
"004B","391004B","32","61","R"
"0001","3930001","7","123","R"
"0002","3930002","1","134","R"
"0003","3930003","5","122","R"
"04-1","39304-1","3","73","R"
"04-2","39304-2","4","72","R"
"0001","3950001","335","398","R"
"0002","3950002","327","503","R"
"0003","3950003","46","333","R"
"0004","3950004","44","316","R"
"0005","3950005","223","761","R"
"0006","3950006","164","769","R"
"0007","3950007","22","23","R"
"0008","3950008","22","158","R"
"0011","3950011","145","521","R"
"0013","3950013","13","116","R"
"0016","3950016","12","93","R"
"0018","3950018","8","55","R"
"0019","3950019","41","345","R"
"0001","3970001","873","2479","R"
"0002","3970002","700","2081","R"
"0003","3970003","150","162","R"
"0004","3970004","320","1303","R"
"001A","397001A","704","1563","R"
"001B","397001B","656","2563","R"
"001C","397001C","442","1614","R"
"002A","397002A","797","2005","R"
"002B","397002B","396","846","R"
"002C","397002C","638","2609","R"
"003A","397003A","369","402","R"
"003B","397003B","721","1144","R"
"003C","397003C","286","1541","R"
"003D","397003D","743","2968","R"
"004A","397004A","1116","2958","R"
"004B","397004B","243","687","R"
"004C","397004C","479","1471","R"
"0001","3990001","106","623","R"
"0002","3990002","11","62","R"
"0003","3990003","96","674","R"
"0004A","3990004A","37","175","R"
"0004B","3990004B","0","9","R"
"0005","3990005","5","117","R"
"0006","3990006","6","99","R"
"0007","3990007","66","447","R"
"0008","3990008","33","408","R"
"0009","3990009","73","389","R"
"0010","3990010","20","247","R"
"0111","4010111","99","530","R"
"0112","4010112","182","995","R"
"0113","4010113","348","1520","R"
"0114","4010114","163","769","R"
"0201","4010201","104","446","R"
"0212","4010212","85","465","R"
"0213","4010213","201","1016","R"
"0214","4010214","333","1214","R"
"0215","4010215","336","1005","R"
"0302","4010302","300","325","R"
"0303","4010303","391","444","R"
"0314A","4010314A","73","559","R"
"0314B","4010314B","6","51","R"
"0315","4010315","43","504","R"
"0316","4010316","39","247","R"
"0317","4010317","188","202","R"
"0318","4010318","147","570","R"
"0319","4010319","96","133","R"
"0404","4010404","176","890","R"
"0405","4010405","139","665","R"
"0416","4010416","76","446","R"
"0417","4010417","175","645","R"
"0418","4010418","235","1034","R"
"0001","4030001","135","903","R"
"0002","4030002","87","681","R"
"0003","4030003","81","311","R"
"0004","4030004","25","187","R"
"0005","4030005","81","734","R"
"0006","4030006","122","887","R"
"0008","4070008","148","496","R"
"0010","4070010","47","282","R"
"0013","4070013","70","318","R"
"0014","4070014","110","278","R"
"0101","4090101","120","151","R"
"0102","4090102","600","615","R"
"0103","4090103","45","201","R"
"0104","4090104","274","437","R"
"0106","4090106","244","533","R"
"0107","4090107","45","96","R"
"0108","4090108","541","1596","R"
"0109","4090109","362","1056","R"
"0110","4090110","410","519","R"
"0111","4090111","6","24","R"
"0114","4090114","226","745","R"
"0115","4090115","494","1529","R"
"0116","4090116","528","1941","R"
"0117","4090117","87","208","R"
"0119","4090119","195","519","R"
"0120","4090120","108","314","R"
"0121","4090121","339","719","R"
"0122","4090122","139","294","R"
"0123","4090123","20","34","R"
"0125","4090125","7","17","R"
"0001","410001","203","968","R"
"0002","410002","773","2450","R"
"0003","410003","189","350","R"
"0005","410005","202","898","R"
"0006","410006","109","517","R"
"0007","410007","143","885","R"
"0009","410009","345","510","R"
"0010","410010","666","1449","R"
"0011","410011","688","708","R"
"0012","410012","904","1685","R"
"0013","410013","498","940","R"
"0015","410015","595","1304","R"
"0023","410023","20","69","R"
"0024","410024","585","702","R"
"0026","410026","482","1075","R"
"0027","410027","326","1691","R"
"0028","410028","19","204","R"
"0029","410029","140","306","R"
"0031","410031","1056","1434","R"
"0033","410033","344","349","R"
"0034","410034","1183","1204","R"
"0035","410035","1224","1373","R"
"0036","410036","777","1015","R"
"0037","410037","11","101","R"
"0039","410039","1071","1656","R"
"0040","410040","1057","2024","R"
"0041","410041","811","2200","R"
"0044","410044","18","66","R"
"0045","410045","26","63","R"
"0046","410046","60","90","R"
"0047","410047","106","136","R"
"0048","410048","29","110","R"
"0052","410052","3","4","R"
"0056","410056","0","7","R"
"0058","410058","130","236","R"
"0059","410059","1","10","R"
"0060","410060","6","72","R"
"0061","410061","10","30","R"
"0063","410063","812","2322","R"
"0065","410065","17","83","R"
"0067","410067","48","106","R"
"0069","410069","691","1616","R"
"0070","410070","142","219","R"
"0071","410071","17","77","R"
"0072","410072","7","14","R"
"0077","410077","102","149","R"
"0078","410078","19","105","R"
"0079","410079","19","20","R"
"0080","410080","513","1501","R"
"0081","410081","18","21","R"
"0082","410082","37","147","R"
"0001","4110001","76","514","R"
"002A","411002A","45","342","R"
"002B","411002B","23","169","R"
"003A","411003A","48","290","R"
"003B","411003B","34","219","R"
"004A","411004A","58","425","R"
"004B","411004B","9","66","R"
"0001","4130001","67","261","R"
"0002","4130002","57","190","R"
"0003","4130003","38","64","R"
"0004","4130004","46","305","R"
"0005","4150005","9","56","R"
"0006","4150006","20","156","R"
"0007","4150007","153","1151","R"
"0008","4150008","62","477","R"
"0009","4150009","29","303","R"
"0010","4150010","75","707","R"
"0011","4150011","10","92","R"
"0012","4150012","126","603","R"
"0013","4150013","36","277","R"
"0014","4150014","16","65","R"
"0015","4150015","197","523","R"
"0101","4170101","27","328","R"
"0202","4170202","19","380","R"
"0303","4170303","9","158","R"
"0307","4170307","14","186","R"
"0404","4170404","1","26","R"
"0405","4170405","13","133","R"
"0406A","4170406A","20","165","R"
"0406B","4170406B","0","2","R"
"0002","4190002","38","468","R"
"0003","4190003","14","197","R"
"0004","4190004","99","396","R"
"0031","4230031","321","2007","R"
"0032","4230032","327","1383","R"
"0037","4230037","172","908","R"
"0038","4230038","430","1081","R"
"0040","4230040","491","2788","R"
"0041","4230041","311","1966","R"
"0042","4230042","422","2085","R"
"0043","4230043","160","376","R"
"0044","4230044","777","1359","R"
"0045","4230045","86","775","R"
"0046","4230046","194","479","R"
"0047","4230047","92","167","R"
"0048","4230048","82","151","R"
"0050","4230050","304","1223","R"
"0052","4230052","179","1066","R"
"0054","4230054","503","1493","R"
"0055","4230055","841","1869","R"
"0056","4230056","428","1699","R"
"0058","4230058","401","1569","R"
"0059","4230059","410","1747","R"
"0061","4230061","468","650","R"
"0064","4230064","39","63","R"
"0066","4230066","172","200","R"
"0070","4230070","77","181","R"
"0071","4230071","462","2017","R"
"0072","4230072","48","77","R"
"0073","4230073","142","192","R"
"0074","4230074","23","82","R"
"0075","4230075","232","1835","R"
"0077","4230077","91","127","R"
"0078","4230078","14","87","R"
"0079","4230079","423","1800","R"
"0080","4230080","3","11","R"
"0001","4250001","98","673","R"
"0002","4250002","149","898","R"
"0003","4250003","171","839","R"
"0004","4250004","122","796","R"
"1-11","4291-11","78","568","R"
"2-11","4292-11","87","719","R"
"2-19A","4292-19A","0","41","R"
"2-19B","4292-19B","7","98","R"
"3-11","4293-11","69","331","R"
"3-19","4293-19","14","248","R"
"4-11","4294-11","45","317","R"
"4-19","4294-19","38","509","R"
"5-11","4295-11","10","203","R"
"0001","430001","434","756","R"
"0003","430003","98","130","R"
"0004","430004","415","459","R"
"0006","430006","180","187","R"
"0001A","4310001A","14","107","R"
"0001B","4310001B","5","33","R"
"0002A","4310002A","12","105","R"
"0002B","4310002B","2","9","R"
"0002C","4310002C","2","16","R"
"0002D","4310002D","1","6","R"
"0003","4310003","18","142","R"
"0004","4310004","16","131","R"
"0001","4330001","19","145","R"
"0002","4330002","36","149","R"
"0003","4330003","23","132","R"
